,DENOMINAZIONE,ID,INDIRIZZO,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,CODICE ACCESSIBILITA' 15,CODICE ACCESSIBILITA' 16,CODICE ACCESSIBILITA' 17,CODICE ACCESSIBILITA' 18,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
42,AL 77,571,"VIA VERDI, 77",Trento,TN,Territorio Val D'adige,Italia,,46.0668965,11.1207144,200.0,Ristoranti,Pizzerie,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6fg,AI-6r,AE-2c,,,,,,,,,,,,2016-02-09 15:14:52.154,2013-01-22
43,AL CASTELLO,728,"VIA BERNARDO CLESIO, 8",Trento,TN,Territorio Val D'adige,Italia,www.alcastellotrento.com,46.0703117,11.1270439,200.0,Ristoranti,,AI-6d,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2c,AI-6r,,,,,,,,,2016-02-11 09:18:00.463,2010-07-29
44,AL FEUDO,11,"PIAZZETTA LAINEZ, 8",Trento,TN,Territorio Val D'adige,Italia,,46.068819,11.120382,324.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AE-1abc,AE-2c,AI-6r,,,,,,,,,,,,2013-06-06 14:05:54.582,2013-02-01
45,AL MARINAIO,814,"VIA DEI MARINAI D'ITALIA, 28",Trento,TN,Territorio Val D'adige,Italia,www.almarinaio.eu,46.0383081,11.1234899,200.0,Alberghi / Hotel,Bed & Breakfast,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-8n,AI-8i,AI-8a,AI-7a,AI-7bcdef,AI-8m,AI-8efga,2018-05-30 10:30:38.615,2010-08-24
46,AL NUOVO FARO,236,"VIA BRESCIA, 45",Trento,TN,Territorio Val D'adige,Italia,,46.0709233,11.109862,190.0,Ristoranti,Pizzerie,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-2d,AI-6r,,,,,,,2016-02-09 09:20:10.549,2010-05-06
47,AL PARCO - BAR PASTICCERIA,157,"VIA POZZO, 1",Trento,TN,Territorio Val D'adige,Italia,,46.069931,11.119781,216.0,Pasticcerie,Bar,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6ad,AE-1abc,AI-6bc,AI-6r,,,,,,,2016-02-01 10:32:17.695,2013-01-31
48,AL PORTEGHET,3,"PASSAGGIO DORIGONI, 3",Trento,TN,Territorio Val D'adige,Italia,,46.071177,11.124706,245.0,Bar,,AI-6d,AI-5b,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6ad,AE-2c,AI-6bc,AE-1abc,,,,,,,2013-06-06 12:12:49.841,2013-01-04
49,ALBERMONACO,811,"VIA TORRE D'AUGUSTO, 25",Trento,TN,Territorio Val D'adige,Italia,www.albermonaco.it,46.07328,11.12628,200.0,Alberghi / Hotel,Ristoranti,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6e,AI-6bc,AI-6ad,AI-8n,AI-7bcdef,AI-8cd,AI-8i,AI-8a,AI-7a,2017-11-17 10:10:17.233,2010-02-24
50,ALL'ANFITEATRO,733,"PIAZZETTA DELL'ANFITEATRO, 10",Trento,TN,Territorio Val D'adige,Italia,,46.0692499,11.125253,200.0,Ristoranti,Self Service,AI-6d,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AI-6p,,,,,,,,,,2016-02-10 16:56:29.051,2013-01-14
51,ALLA GROTTA,738,"VICOLO S. MARCO, 6",Trento,TN,Territorio Val D'adige,Italia,,46.0697049,11.1255647,200.0,Ristoranti,Pizzerie,AI-6d,AI-6p,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,,,,,,,,,2013-01-28 10:00:25.806,2013-01-25
