,DENOMINAZIONE,ID,INDIRIZZO,CAP,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
39,CENTRO PER L'IMPIEGO DI ROVERETO,1085,"VIALE TRENTO, 31",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.agenziadellavoro.tn.it,45.900431,11.042451,0,Uffici Pubblici,,AE-1abc,AE-2b,AI-6e,AI-6ad,AE-2a,AE-3abde,AE-3cf,AI-6bc,AI-6l,AI-6p,AI-6d,AI-6fg,AI-6i,AI-6r,2017-01-11 09:14:53.052,2013-03-04
40,CENTRO PER LA FORMAZIONE CONTINUA E L'AGGIORNAMENTO DEL PERSONALE INSEGNANTE - PALAZZO TODESCHI,877,"VIA TARTAROTTI, 7",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.formazionescuolatrentina.it,45.9293238,11.0422632,200,Uffici Pubblici,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-1abc,AI-6fg,AI-6r,AI-6i,AI-5c,AI-6e,AI-6d,,,2016-05-23 11:30:00.614,2012-08-03
41,CENTRO SERVIZI UIL DEL TRENTINO,901,"CORSO ROSMINI, 53/2",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.cafuiltrentino.it,45.891097,11.039312,200,Uffici Pubblici,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-2a,,,,,,,,,2013-03-04 16:38:48.752,2013-03-04
42,CHIESA DELLA BEATA VERGINE DI LORETO,860,PIAZZALE LORETO,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.986943,11.1384201,200,Edifici di Culto,,AE-3cf,AE-3abde,,,,,,,,,,,,,2011-06-08 14:13:06,2010-09-22
43,CHIESA DELLA BEATA VERGINE MARIA,861,PIAZZALE ORSI,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8907117,11.0347042,200,Edifici di Culto,,AE-3cf,AE-3abde,AE-2c,,,,,,,,,,,,2016-04-05 12:13:09.558,2012-07-17
44,CHIESA DI SAN CARLO,846,PIAZZA DAMIANO CHIESA,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8861693,11.018214,200,Edifici di Culto,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,2016-04-05 12:16:09.423,2012-07-17
45,CHIESA DI SAN MARCO,835,PIAZZA SAN MARCO,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.parrocchie.it/rovereto,45.8887402,11.0453277,200,Edifici di Culto,,AE-3cf,AE-3abde,,,,,,,,,,,,,2016-04-05 12:18:40.841,2010-09-28
46,CHIESA DI SANTA MARIA DEL SUFFRAGIO,849,VIA CALCINARI,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8866794,11.0444727,200,Edifici di Culto,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,2011-06-07 14:32:59,2010-10-20
47,CIBI SANI,845,PIAZZA DAMIANO CHIESA,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.cuorebio.it,45.8861693,11.0188214,200,Farmacie,,AE-3cf,AE-3abde,AE-1abc,AE-2d,,,,,,,,,,,2016-04-05 12:07:41.947,2012-08-08
48,CIMEC - CENTRO INTERDIPARTIMENTALE MENTE/CERVELLO,1115,"CORSO BETTINI, 31",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.unitn.it/cimec,45.8949733,11.0435503,200,Scuole e universita,,AE-3abde,AI-5fb,AI-6fg,AI-5fa,AI-6r,AI-6bc,AE-2d,AE-1abc,AI-6i,AI-5f,AI-6l,AI-6e,AE-3cf,AI-6p,2013-05-03 17:43:27.714,2013-02-14
