,Unnamed: 0,Unnamed: 0.1,city,country,housenumber,postcode,street,region,osm_ID,has_latitude,has_longitude,has_province,has_administrativeArea
163,163,163,,it,,,,Trentino-Alto Adige,6499447401,45.88151168823242,11.023289680480955,TN,22205
164,164,164,,it,,,,Trentino-Alto Adige,6499447402,45.87960433959961,11.019805908203123,TN,22205
165,165,165,,it,,,,Trentino-Alto Adige,6501697485,45.90039825439453,11.04024887084961,TN,22205
166,166,166,,it,13,38068.0,Via San Giovanni Bosco,Trentino-Alto Adige,6536659765,45.89212417602539,11.041484832763672,TN,22205
167,167,167,,it,68/b,,Via Unione,Trentino-Alto Adige,6791933531,45.893531799316406,11.027170181274414,TN,22205
168,168,168,,it,,,,Trentino-Alto Adige,6792820034,45.888668060302734,11.016222953796388,TN,22205
169,169,169,,it,,,,Trentino-Alto Adige,6867227781,45.88717269897461,11.030943870544434,TN,22205
170,170,170,,it,,,,Trentino-Alto Adige,6869007799,45.88702392578125,11.03331184387207,TN,22205
171,171,171,,it,,,,Trentino-Alto Adige,6910385503,45.88362884521485,11.02064323425293,TN,22205
172,172,172,,it,,,,Trentino-Alto Adige,7146091389,45.88900375366211,11.033660888671877,TN,22205
173,173,173,,it,,,,Trentino-Alto Adige,7528823873,45.85540771484375,11.048439025878906,TN,22205
174,174,174,,it,,,,Trentino-Alto Adige,7780855766,45.848419189453125,11.003241539001465,TN,22205
175,175,175,,it,,,,Trentino-Alto Adige,7780855767,45.84835433959961,11.003290176391602,TN,22205
176,176,176,,it,,,,Trentino-Alto Adige,7894980155,45.85359573364258,11.034873008728027,TN,22205
177,177,177,,it,,,,Trentino-Alto Adige,7894980156,45.853614807128906,11.034921646118164,TN,22205
178,178,178,,it,,,,Trentino-Alto Adige,7894980157,45.85322189331055,11.03496551513672,TN,22205
179,179,179,,it,,,,Trentino-Alto Adige,7894980158,45.85333633422852,11.034781455993652,TN,22205
180,180,180,,it,64,,Via delle Maioliche,Trentino-Alto Adige,7928997808,45.882850646972656,11.036678314208984,TN,22205
181,181,181,,it,,,,Trentino-Alto Adige,8005557817,45.90423583984375,11.052472114562988,TN,22205
182,182,182,,it,,,,Trentino-Alto Adige,8086040476,45.902156829833984,11.05670166015625,TN,22205
183,183,183,,it,,,,Trentino-Alto Adige,8086044929,45.90410614013672,11.052762031555176,TN,22205
184,184,184,Rovereto,it,17,38068.0,Vicolo dei Conciatori,Trentino-Alto Adige,8197332146,45.88824844360352,11.042268753051758,TN,22161
