,has_ID,has_officialName,has_municipality,has_province,has_country,has_website,has_latitude,has_longitude,has_elevation,has_facilityType,has_uploadDate,has_addr:street,has_addr:housenumber,has_accessibleElevator,has_reservedParkinglots,has_guidanceSystem,has_accessibleToilette,has_steps,has_ramp,has_staircaseSlope,has_levelOfAccessibility
85,149,AUDITORIUM SANTA CHIARA,Trento,TN,Italia,www.centrosantachiara.it,46.0638997,11.1234869,235.0,Centri e sale culturali,2016-05-03,Via Santa Croce,"""",False,True,False,True,False,False, ,limited
86,1322,AUDITORIUM VANEZE,Trento,TN,Italia,www.discovertrento.it,46.051322,11.073052,0.0,Centri e sale culturali,2013-12-04,Strada Di Vaneze,11,False,False,False,False,False,False, ,no
87,696,AUSER TRENTO onlus Associazione per l'autogestione dei servizi e la solidarietà,Trento,TN,Italia,www.auser.it,46.058677,11.121518,200.0,Associazioni,2010-07-16,Via Bronzetti,"""",False,True,False,True,False,True,Dislivello in percentuale: 7.0; Lunghezza in cm.: 470.0,yes
88,274,AUTORIMESSA EUROPA,Trento,TN,Italia,,46.0678222,11.1247683,185.0,Parcheggi,2010-04-26,Via Roggia Grande,20,False,True,False,False,False,False, ,limited
89,266,AUTOSTAZIONE,Trento,TN,Italia,www.ttesercizio.it,46.070793,11.119393,165.0,Stazioni,2013-02-01,Via Pozzo,,False,True,False,True,False,False, ,limited
90,787,AVVOCATURA DELLA PROVINCIA,Trento,TN,Italia,wwww.provincia.tn.it,46.072283,11.1207961,200.0,Uffici Pubblici,2010-06-30,Piazza Dante,15,False,True,False,True,False,False, ,limited
91,152,"AZIENDA PER IL TURISMO TRENTO, MONTE BONDONE, VALLE DEI LAGHI",Trento,TN,Italia,www.apt.trento.it,46.0696,11.11864,234.0,Agenzie viaggi e Promozione Turistica,2013-01-21,Piazza Della Portella,3,False,True,False,False,False,False, ,limited
92,86,"AZIENDA PER IL TURISMO TRENTO, MONTE BONDONE, VALLE DEI LAGHI",Trento,TN,Italia,www.apt.trento.it,46.06974,11.121573,211.0,Agenzie viaggi e Promozione Turistica,2017-04-26,Piazza Dante,24,False,True,False,False,False,True,Dislivello in percentuale: 8.0; Lunghezza in cm.: 485.0,yes
93,674,AZIENDA PROVINCIALE PER L'ENERGIA,Trento,TN,Italia,www.provincia.tn.it,46.0906942,11.118853,200.0,Uffici Pubblici,2010-06-18,Via Gilli,4,False,True,False,True,False,True,Dislivello in percentuale: 5.0; Lunghezza in cm.: 1700.0,yes
94,364,Agenzia del Lavoro di Trento - sede centrale,Trento,TN,Italia,www.agenzialavoro.tn.it,46.094579,11.1176606,200.0,Uffici Pubblici,2010-07-29,Via Guardini,75,False,False,False,False,False,False, ,no
95,363,Agenzia delle Entrate,Trento,TN,Italia,www.agenziaentrate.it,46.088087,11.1172982,200.0,Uffici Pubblici,2010-07-30,Via Brennero,133,False,True,False,False,False,True,Dislivello in percentuale: 15.0; Lunghezza in cm.: 700.0,yes
96,398,Alpina Tourdolomit,Trento,TN,Italia,www.alpina-tourdolomit.com,46.0702565,11.1253927,200.0,Agenzie viaggi e Promozione Turistica,2013-01-25,Via San Marco,19,False,True,False,False,False,False, ,limited
97,362,Archivio Notarile Distrettuale,Trento,TN,Italia,www.giustizia.it,46.073301,11.1181218,200.0,Uffici Pubblici,2010-07-30,Corso Buonarroti,53,False,True,False,False,False,False, ,limited
98,439,Area Archeologica di Palazzo Lodron,Trento,TN,Italia,www.trentinocultura.net,46.0679041,11.12269,200.0,Musei,2013-01-04,Piazza Lodron,31,False,True,False,False,False,False, ,limited
99,296,Associazione Agriturismo Trentino,Trento,TN,Italia,www.agriturismotrentino.com,46.074522,11.1225305,180.0,Associazioni,2010-05-21,Via Jacopo Aconcio,13,False,True,False,False,True,False, ,yes
